 Hello
 Good Morning
 Good Afternoon
 Good Evening
 It's Nice to Meet You
 It's a Pleasure to Meet You
 Greetings
Greetings and Salutations
 Good to See You
 Great to See You
 What's the Word?
What's the Good Word?
 How Have You Been?
" Good Afternoon, Sir"
 Good Day to You
 Hi
 Hi There
 Morning
 G'day
 Howdy
" Hey, What's Up?"
 What’s Going On?
 What's Happening?
 What's New?
 What Have You Been Up To?
 It's Good To See You
 Hey! There He Is
 How's Everything?
 How's It Going?
 How Are You?
 How Are You Doing Today?
 How Are You Feeling Today?
 How Are Things?
How Are Things With You?
 Long Time No See
 Look Who It Is!
 Nice To See You
Nice To See You Again
 Hey
 Hey There
 Sup?
 Yo!
 Look What The Cat Dragged In!
" Oh No, Look Who It Is!"
" Oh, Look Out!"
 How Are You Today?
